document_id,claim_id,split,document_type,available,filename,sha256,source,is_duplicate_hash
DOC-CLM-882872-Purchase_Receipt,CLM-882872,train,Purchase Receipt,True,purchase_receipt_CLM-882872.pdf,ef3e43dd0591cd09f24d4070dbdbb554333ca58a583dd6e75a36475dcedf7370,synthetic-manifest,False
DOC-CLM-882872-Warranty_Card,CLM-882872,train,Warranty Card,True,warranty_card_CLM-882872.png,ecdb9d187ab82844625a08781c8992f71e5acd86aaedc20635cc4bf600492213,synthetic-manifest,False
DOC-CLM-882872-Product_Image,CLM-882872,train,Product Image,True,product_image_CLM-882872.png,4072951ae8137586386d6c3c3b7e01d8d8b05a276d92b54bb7a18c9d5b589072,synthetic-manifest,False
DOC-CLM-882872-Serial_Number_Evidence,CLM-882872,train,Serial Number Evidence,True,serial_number_evidence_CLM-882872.png,b5289f2905c60ed25800185e0c6320efc633ce186f9beb6730a140699aaa1b65,synthetic-manifest,False
DOC-CLM-882872-Fault_Evidence,CLM-882872,train,Fault Evidence,True,fault_evidence_CLM-882872.png,9763ac8190e110bb582e249c01248870b424f84793cb30e166deaedb144fa784,synthetic-manifest,False
DOC-CLM-882872-Repair_Report,CLM-882872,train,Repair Report,True,repair_report_CLM-882872.png,8145b0ae669b6fbb30547022bc0d3a75fed837fd48c6cd0d4684e3b6703937eb,synthetic-manifest,False
DOC-CLM-513302-Purchase_Receipt,CLM-513302,test,Purchase Receipt,True,purchase_receipt_CLM-513302.pdf,0e32dc561c199a7accddf9a9a70b64a88e869a5e77075ecb8fcdbb3918f83825,synthetic-manifest,False
DOC-CLM-513302-Warranty_Card,CLM-513302,test,Warranty Card,True,warranty_card_CLM-513302.png,d637abcf6d923e11a24b2fb018151fe92243a9548a95fc537788ca3562be716c,synthetic-manifest,False
DOC-CLM-513302-Product_Image,CLM-513302,test,Product Image,True,product_image_CLM-513302.png,c080fa2300f96020c1239b712486e4355dfe3d7bc6455624cdb419c6f96ffc15,synthetic-manifest,False
DOC-CLM-513302-Serial_Number_Evidence,CLM-513302,test,Serial Number Evidence,True,serial_number_evidence_CLM-513302.png,4a2142af155757ebe4015296217e31778f04d394b6a93febe4b799fd1941382e,synthetic-manifest,False
DOC-CLM-513302-Fault_Evidence,CLM-513302,test,Fault Evidence,True,fault_evidence_CLM-513302.png,1f69c060c5362cfba8156a3228b71fe8a7ce82dc4c9d61e8c6eade9fb645ab57,synthetic-manifest,False
DOC-CLM-513302-Repair_Report,CLM-513302,test,Repair Report,True,repair_report_CLM-513302.png,59e43d6b6687f2d00fdb7f225dc169e29cd7d02398cc58d8a7843e137d1a6c41,synthetic-manifest,False
DOC-CLM-352193-Purchase_Receipt,CLM-352193,train,Purchase Receipt,False,,,synthetic-manifest,False
DOC-CLM-352193-Warranty_Card,CLM-352193,train,Warranty Card,True,warranty_card_CLM-352193.png,05b5d40bd1cff995aaad983a4eb75d41479befd7a0731a1bf6cbd30b40865c0e,synthetic-manifest,False
DOC-CLM-352193-Product_Image,CLM-352193,train,Product Image,True,product_image_CLM-352193.png,20d10a256ec8b509de18852110e23a18063acca664f0a819c3e2414c3d247041,synthetic-manifest,False
DOC-CLM-352193-Serial_Number_Evidence,CLM-352193,train,Serial Number Evidence,True,serial_number_evidence_CLM-352193.png,4f078fa9c1907ea0691d53da1e2a0eec44b85315b25608a8eba12a9188c0770f,synthetic-manifest,False
DOC-CLM-352193-Fault_Evidence,CLM-352193,train,Fault Evidence,True,fault_evidence_CLM-352193.png,dfa31bcd04d501e1854ead58a2970829e05976a5ca6643789739049648461152,synthetic-manifest,False
DOC-CLM-352193-Repair_Report,CLM-352193,train,Repair Report,False,,,synthetic-manifest,False
DOC-CLM-391383-Purchase_Receipt,CLM-391383,validation,Purchase Receipt,True,purchase_receipt_CLM-391383.pdf,5abb5e6361dcf5b68dd7bcdea98cf22b5cd3bd12613b17ad8226b664ba1346d6,synthetic-manifest,False
DOC-CLM-391383-Warranty_Card,CLM-391383,validation,Warranty Card,True,warranty_card_CLM-391383.png,5495edcc8cf0b8850b4168553cc9bb5391d321399aada9c541c44630d41bcfc6,synthetic-manifest,False
DOC-CLM-391383-Product_Image,CLM-391383,validation,Product Image,True,product_image_CLM-391383.png,b2dabd96d07a7d4ea5b30950c8025c8014ba9c80478be00d16205709f2ab01b3,synthetic-manifest,False
DOC-CLM-391383-Serial_Number_Evidence,CLM-391383,validation,Serial Number Evidence,True,serial_number_evidence_CLM-391383.png,a3d36897f51cab6a2b72473de3235fad496f1c673ee6a0443f1ec91c7eaa79b5,synthetic-manifest,False
DOC-CLM-391383-Fault_Evidence,CLM-391383,validation,Fault Evidence,True,fault_evidence_CLM-391383.png,910731282061ddca0b672de67ba528394d6d706405887deda343573f72bef7a9,synthetic-manifest,False
DOC-CLM-391383-Repair_Report,CLM-391383,validation,Repair Report,True,repair_report_CLM-391383.png,b398d1ab91c69d07839d08fa9cd32815947de249bee382773b28f753162c42fa,synthetic-manifest,False
DOC-CLM-282343-Purchase_Receipt,CLM-282343,train,Purchase Receipt,True,purchase_receipt_CLM-282343.pdf,f5add894571d867ac22f2951205a70d49e60b0796f7961d097a29f1228f2a365,synthetic-manifest,False
DOC-CLM-282343-Warranty_Card,CLM-282343,train,Warranty Card,True,warranty_card_CLM-282343.png,62e9572d3b85aeb1b6beaad73f170fb3901307590a5a7cc188e376a1d94820ff,synthetic-manifest,False
DOC-CLM-282343-Product_Image,CLM-282343,train,Product Image,True,product_image_CLM-282343.png,4344f79ccdcad5c2aa80d06ae06065c162eb0c1b30564e146ea70afa1ae1b15a,synthetic-manifest,False
